File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF906RAB	bigWig	bigWig		signal p-value	GRCh38	ENCSR000DZX	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										IRF3-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF278NPZ/, /files/ENCFF683ICJ/, /files/ENCFF042LWY/, /files/ENCFF605SWO/, /files/ENCFF863XTX/, /files/ENCFF764MTX/	533844642	ENCODE Processing Pipeline	ceae4f414cc416c03f0385b0137069b8		https://www.encodeproject.org/files/ENCFF906RAB/@@download/ENCFF906RAB.bigWig				released	s3://encode-public/2021/01/07/bfe40a0f-7bd6-4a78-a701-25a64e75c492/ENCFF906RAB.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/01/07/bfe40a0f-7bd6-4a78-a701-25a64e75c492/ENCFF906RAB.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, improper control_type of control experiment		
ENCFF785MSW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZX	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										IRF3-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF278NPZ/, /files/ENCFF683ICJ/, /files/ENCFF042LWY/, /files/ENCFF356LFX/, /files/ENCFF605SWO/, /files/ENCFF863XTX/, /files/ENCFF764MTX/	36162	ENCODE Processing Pipeline	47abe46fac595052624d1515b3740696		https://www.encodeproject.org/files/ENCFF785MSW/@@download/ENCFF785MSW.bed.gz				released	s3://encode-public/2021/01/07/3f2e2a3d-4d25-4fee-ac04-bd5961dc97db/ENCFF785MSW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/07/3f2e2a3d-4d25-4fee-ac04-bd5961dc97db/ENCFF785MSW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, improper control_type of control experiment		
ENCFF530XSI	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZX	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										IRF3-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF785MSW/	116092	ENCODE Processing Pipeline	f901fc23968cfec55b8bc9487ca14bc7		https://www.encodeproject.org/files/ENCFF530XSI/@@download/ENCFF530XSI.bigBed				released	s3://encode-public/2021/01/07/1a4a4112-f9c8-4b9c-877e-9cfb1964a50e/ENCFF530XSI.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/01/07/1a4a4112-f9c8-4b9c-877e-9cfb1964a50e/ENCFF530XSI.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, improper control_type of control experiment		
ENCFF810XRY	bigWig	bigWig		signal p-value	GRCh38	ENCSR000BGU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										EBF1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF075XYL/, /files/ENCFF882OBA/, /files/ENCFF650TOW/, /files/ENCFF519KIS/, /files/ENCFF679DWX/	974116422	ENCODE Processing Pipeline	9857ef82acf93016ecad36bff95c43ee		https://www.encodeproject.org/files/ENCFF810XRY/@@download/ENCFF810XRY.bigWig				released	s3://encode-public/2020/12/12/6314d155-6e8b-4279-a6c0-8d7f73114394/ENCFF810XRY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/6314d155-6e8b-4279-a6c0-8d7f73114394/ENCFF810XRY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth		
ENCFF895MHN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BGU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										EBF1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF075XYL/, /files/ENCFF882OBA/, /files/ENCFF650TOW/, /files/ENCFF519KIS/, /files/ENCFF679DWX/, /files/ENCFF356LFX/	744477	ENCODE Processing Pipeline	62c5cdd498d2027d029b847f0ab2241a		https://www.encodeproject.org/files/ENCFF895MHN/@@download/ENCFF895MHN.bed.gz				released	s3://encode-public/2020/12/12/4cbad5c1-c53a-4484-aeb7-75ae90addb79/ENCFF895MHN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/4cbad5c1-c53a-4484-aeb7-75ae90addb79/ENCFF895MHN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth		
ENCFF813OXE	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BGU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										EBF1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF895MHN/	1504250	ENCODE Processing Pipeline	77c5e93a5c79e3078631e697e67d0966		https://www.encodeproject.org/files/ENCFF813OXE/@@download/ENCFF813OXE.bigBed				released	s3://encode-public/2020/12/12/32521618-cb57-4ca1-bea5-04aed89d6856/ENCFF813OXE.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/32521618-cb57-4ca1-bea5-04aed89d6856/ENCFF813OXE.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth		
ENCFF305UIB	bigWig	bigWig		signal p-value	GRCh38	ENCSR000BJY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ATF3-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF373EUJ/, /files/ENCFF447BVE/, /files/ENCFF554UVL/	517748328	ENCODE Processing Pipeline	0f8ad6964c1ccfa8bd5f787d7f9e01c9		https://www.encodeproject.org/files/ENCFF305UIB/@@download/ENCFF305UIB.bigWig				released	s3://encode-public/2020/12/12/addfaf24-0861-4906-9cdd-9e551e27dd55/ENCFF305UIB.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/addfaf24-0861-4906-9cdd-9e551e27dd55/ENCFF305UIB.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, moderate library complexity, low read depth, borderline replicate concordance, mild to moderate bottlenecking		extremely low read depth
ENCFF882AEU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ATF3-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF373EUJ/, /files/ENCFF447BVE/, /files/ENCFF554UVL/, /files/ENCFF356LFX/	71669	ENCODE Processing Pipeline	040bd9343f7a30bef6470a65cdb5ec45		https://www.encodeproject.org/files/ENCFF882AEU/@@download/ENCFF882AEU.bed.gz				released	s3://encode-public/2020/12/12/97e501be-2f07-4412-b72a-fc7a1657b92a/ENCFF882AEU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/97e501be-2f07-4412-b72a-fc7a1657b92a/ENCFF882AEU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, moderate library complexity, low read depth, borderline replicate concordance, mild to moderate bottlenecking		extremely low read depth
ENCFF358BXK	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ATF3-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF882AEU/	182751	ENCODE Processing Pipeline	f7c0364a52531cc2557c571084eb5d0d		https://www.encodeproject.org/files/ENCFF358BXK/@@download/ENCFF358BXK.bigBed				released	s3://encode-public/2020/12/12/645c3a35-897b-400e-aef2-5c626820b7c1/ENCFF358BXK.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/645c3a35-897b-400e-aef2-5c626820b7c1/ENCFF358BXK.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, moderate library complexity, low read depth, borderline replicate concordance, mild to moderate bottlenecking		extremely low read depth
ENCFF196JQW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										USF2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF863XTX/, /files/ENCFF213IWO/, /files/ENCFF356LFX/, /files/ENCFF977QBD/, /files/ENCFF278NPZ/	79057	ENCODE Processing Pipeline	9e23ce47bbd7cb879780a294a61071f8		https://www.encodeproject.org/files/ENCFF196JQW/@@download/ENCFF196JQW.bed.gz				released	s3://encode-public/2020/12/11/9b8f3309-3173-4358-a0f2-0d169af1027c/ENCFF196JQW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/11/9b8f3309-3173-4358-a0f2-0d169af1027c/ENCFF196JQW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, improper control_type of control experiment, borderline replicate concordance, low read depth		
