File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF488VLD	bam	bam		unfiltered alignments	GRCh38	ENCSR241VGH	ATAC-seq	/human-donors/ENCDO326KDH/	CLO:0024912	GM18502	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		79					/files/ENCFF110MCL/, /files/ENCFF447RFD/, /files/ENCFF305ISV/	20244604109	ENCODE Processing Pipeline	7c9b168946b41fc4c6b7a9034c3d08e4		https://www.encodeproject.org/files/ENCFF488VLD/@@download/ENCFF488VLD.bam				released	s3://encode-public/2021/02/04/a8ac1c90-09d3-4582-bb43-89f705e128f1/ENCFF488VLD.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/a8ac1c90-09d3-4582-bb43-89f705e128f1/ENCFF488VLD.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
ENCFF854BZA	bam	bam		alignments	GRCh38	ENCSR241VGH	ATAC-seq	/human-donors/ENCDO326KDH/	CLO:0024912	GM18502	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		79					/files/ENCFF356LFX/, /files/ENCFF110MCL/, /files/ENCFF493CCB/, /files/ENCFF305ISV/, /files/ENCFF447RFD/, /files/ENCFF140XLU/, /files/ENCFF304XEX/, /files/ENCFF212UAV/	6918471089	ENCODE Processing Pipeline	aa380634252dbacddda3c21ffd78f1e3		https://www.encodeproject.org/files/ENCFF854BZA/@@download/ENCFF854BZA.bam				released	s3://encode-public/2021/02/04/745314de-b6a4-4902-8f6b-2d24aded86e2/ENCFF854BZA.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/745314de-b6a4-4902-8f6b-2d24aded86e2/ENCFF854BZA.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
ENCFF723TGP	bigWig	bigWig		signal p-value	GRCh38	ENCSR241VGH	ATAC-seq	/human-donors/ENCDO326KDH/	CLO:0024912	GM18502	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1							/files/ENCFF854BZA/	915865502	ENCODE Processing Pipeline	fca83ff43b4f1c70b94831fd2d902588		https://www.encodeproject.org/files/ENCFF723TGP/@@download/ENCFF723TGP.bigWig				released	s3://encode-public/2021/02/04/85f56e2c-5c62-4024-afe5-d96b992d506e/ENCFF723TGP.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/85f56e2c-5c62-4024-afe5-d96b992d506e/ENCFF723TGP.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
ENCFF241EBE	bigWig	bigWig		fold change over control	GRCh38	ENCSR241VGH	ATAC-seq	/human-donors/ENCDO326KDH/	CLO:0024912	GM18502	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1							/files/ENCFF854BZA/	1302597300	ENCODE Processing Pipeline	43776285b65492a8aa809b7654f961f4		https://www.encodeproject.org/files/ENCFF241EBE/@@download/ENCFF241EBE.bigWig				released	s3://encode-public/2021/02/04/60cd37d2-2579-49ab-be2e-13ef11f8a483/ENCFF241EBE.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/60cd37d2-2579-49ab-be2e-13ef11f8a483/ENCFF241EBE.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
ENCFF639GND	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR241VGH	ATAC-seq	/human-donors/ENCDO326KDH/	CLO:0024912	GM18502	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1							/files/ENCFF854BZA/	10171498	ENCODE Processing Pipeline	5d7eb73dc65dd72ea20148a197e501fa		https://www.encodeproject.org/files/ENCFF639GND/@@download/ENCFF639GND.bed.gz				released	s3://encode-public/2021/02/04/04a4076f-7e1a-4e1b-b374-3927ed35f911/ENCFF639GND.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/04a4076f-7e1a-4e1b-b374-3927ed35f911/ENCFF639GND.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
ENCFF072JKR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR241VGH	ATAC-seq	/human-donors/ENCDO326KDH/	CLO:0024912	GM18502	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1							/files/ENCFF854BZA/, /files/ENCFF356LFX/	2930695	ENCODE Processing Pipeline	59ba20a5a922d3ccd3f49f19e8cf617e		https://www.encodeproject.org/files/ENCFF072JKR/@@download/ENCFF072JKR.bed.gz				released	s3://encode-public/2021/02/04/518825f6-6bf8-4546-b2e8-55cb6aa9a100/ENCFF072JKR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/518825f6-6bf8-4546-b2e8-55cb6aa9a100/ENCFF072JKR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
ENCFF147MZL	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR241VGH	ATAC-seq	/human-donors/ENCDO326KDH/	CLO:0024912	GM18502	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1							/files/ENCFF072JKR/	6572622	ENCODE Processing Pipeline	3099ecc5bf838b18458fac4647fb276e		https://www.encodeproject.org/files/ENCFF147MZL/@@download/ENCFF147MZL.bigBed				released	s3://encode-public/2021/02/04/75725271-bb5c-421a-8a78-a804c1079e7d/ENCFF147MZL.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/75725271-bb5c-421a-8a78-a804c1079e7d/ENCFF147MZL.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
ENCFF453GXR	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR241VGH	ATAC-seq	/human-donors/ENCDO326KDH/	CLO:0024912	GM18502	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1							/files/ENCFF854BZA/, /files/ENCFF356LFX/	4797633	ENCODE Processing Pipeline	eccb628743fade6e6216bb48e4989300		https://www.encodeproject.org/files/ENCFF453GXR/@@download/ENCFF453GXR.bed.gz				released	s3://encode-public/2021/02/04/8e9d7c1f-5ca7-48fc-b4fd-13e751e05529/ENCFF453GXR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/8e9d7c1f-5ca7-48fc-b4fd-13e751e05529/ENCFF453GXR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
ENCFF529QLX	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR241VGH	ATAC-seq	/human-donors/ENCDO326KDH/	CLO:0024912	GM18502	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1							/files/ENCFF453GXR/	10714026	ENCODE Processing Pipeline	3f59da574e8e473ca079c753b15c0a41		https://www.encodeproject.org/files/ENCFF529QLX/@@download/ENCFF529QLX.bigBed				released	s3://encode-public/2021/02/04/d620f4d8-8cc1-4782-bc2a-e97336d1c000/ENCFF529QLX.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/d620f4d8-8cc1-4782-bc2a-e97336d1c000/ENCFF529QLX.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
ENCFF504FJP	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1							/files/ENCFF415FEC/	8612830	ENCODE Processing Pipeline	427f616e94acf4cafd7aeb0ab1b2c080		https://www.encodeproject.org/files/ENCFF504FJP/@@download/ENCFF504FJP.bed.gz				released	s3://encode-public/2021/02/24/74254615-995b-4eef-96c4-0821351c6a66/ENCFF504FJP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/74254615-995b-4eef-96c4-0821351c6a66/ENCFF504FJP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
